GENESIS-Tabelle: 46241-007Z
Straßenverkehrsunfälle: Unfälle mit Personenschaden oder;;;;;;;;
Sachschaden, Verunglückte - Gemeinden;;;;;;;;
(Gebietsstand ab 01.01.23) - Jahre;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;
;;;Unfälle insgesamt (o.so.Sachsch.unf.);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i.e.S.;Sonst. Sachsch.unfall unt.Einwirk.berausch.Mittel;Getötete;Verletzte
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14628380;      Stolpen, Stadt;2024;22;19;3;-;4;22
14628390;      Struppen;2024;19;12;6;1;-;15
14628400;      Tharandt, Stadt;2024;23;16;6;1;2;23
14628410;      Wilsdruff, Stadt;2024;86;64;17;5;3;93
147;  Leipzig, NUTS 2-Region;2024;4137;3400;567;170;38;4253
14713;    Leipzig, Stadt;2024;2335;1944;291;100;11;2318
14713000;      Leipzig, Stadt;2024;2335;1944;291;100;11;2318
14729;    Leipzig, Landkreis;2024;990;794;162;34;11;1036
14729010;      Bad Lausick, Stadt;2024;23;21;1;1;-;29
14729020;      Belgershain;2024;7;6;1;-;-;9
14729030;      Bennewitz;2024;29;23;5;1;1;30
14729040;      Böhlen, Stadt;2024;36;26;8;2;1;35
14729050;      Borna, Stadt;2024;102;84;15;3;1;107
14729060;      Borsdorf;2024;17;14;2;1;-;17
14729070;      Brandis, Stadt;2024;41;30;9;2;-;35
14729080;      Colditz, Stadt;2024;31;24;6;1;-;30
14729140;      Frohburg, Stadt;2024;54;41;10;3;-;52
14729150;      Geithain, Stadt;2024;22;17;5;-;-;24
14729160;      Grimma, Stadt;2024;120;94;20;6;3;129
14729170;      Groitzsch, Stadt;2024;24;15;6;3;-;19
14729190;      Großpösna;2024;50;41;8;1;-;60
14729220;      Kitzscher, Stadt;2024;14;8;6;-;-;11
14729245;      Lossatal;2024;22;16;4;2;-;19
14729250;      Machern;2024;18;16;2;-;-;24
14729260;      Markkleeberg, Stadt;2024;95;85;9;1;1;107
14729270;      Markranstädt, Stadt;2024;53;44;6;3;1;64
14729300;      Naunhof, Stadt;2024;28;25;3;-;-;33
14729320;      Neukieritzsch;2024;32;25;6;1;-;33
14729330;      Otterwisch;2024;4;4;-;-;-;5
14729340;      Parthenstein;2024;16;11;5;-;-;14
14729350;      Pegau, Stadt;2024;21;18;2;1;-;26
14729360;      Regis-Breitingen, Stadt;2024;8;7;1;-;-;7
14729370;      Rötha, Stadt;2024;27;17;9;1;1;18
14729380;      Thallwitz;2024;6;5;1;-;-;5
14729400;      Trebsen/Mulde, Stadt;2024;14;9;5;-;1;12
14729410;      Wurzen, Stadt;2024;40;37;3;-;-;45
14729430;      Zwenkau, Stadt;2024;36;31;4;1;1;37
14730;    Nordsachsen, Landkreis;2024;812;662;114;36;16;899
14730010;      Arzberg;2024;1;1;-;-;-;1
14730020;      Bad Düben, Stadt;2024;25;21;3;1;-;23
14730030;      Beilrode;2024;10;9;1;-;-;13
14730045;      Belgern-Schildau, Stadt;2024;16;13;1;2;-;16
14730050;      Cavertitz;2024;6;4;1;1;1;5
14730060;      Dahlen, Stadt;2024;15;14;1;-;1;17
14730070;      Delitzsch, Stadt;2024;99;81;10;8;-;108
14730080;      Doberschütz;2024;18;13;4;1;-;18
14730090;      Dommitzsch, Stadt;2024;3;3;-;-;-;3
14730100;      Dreiheide;2024;4;4;-;-;-;4
14730110;      Eilenburg, Stadt;2024;68;57;8;3;-;73
14730120;      Elsnig;2024;5;3;1;1;-;3
14730140;      Jesewitz;2024;17;11;6;-;-;18
14730150;      Krostitz;2024;22;19;3;-;-;31
14730160;      Laußig;2024;11;9;2;-;-;11
14730170;      Liebschützberg;2024;8;7;-;1;-;11
14730180;      Löbnitz;2024;14;12;2;-;-;12
