GENESIS-Tabelle: 46251-003Z
Kfz-Bestand: Bestand, Kfz-Arten(4);;;;;;;
- Gemeinden (GS ab 01.01.23);;;;;;;
- Stichtage: bis 2000 am 01.07., bis 2010 am 01.01.;;;;;;;
Statistik des Kfz - und Anhängerbestandes;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;
;;;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart
;;;Insgesamt;Pkw insgesamt;Lkw insgesamt;Zugmaschinen insgesamt;Krafträder, zwei-, drei- und leichte vierrädr. Kfz
14625450;      Pulsnitz, Stadt;01.01.2010;4905;4215;332;89;237
14625460;      Puschwitz;01.01.2010;698;559;49;.;56
14625470;      Räckelwitz;01.01.2010;784;624;75;.;59
14625480;      Radeberg, Stadt;01.01.2010;11071;9669;640;97;612
14625490;      Radibor;01.01.2010;2573;1996;231;108;184
14625500;      Ralbitz-Rosenthal;01.01.2010;1383;1071;107;.;100
14625510;      Rammenau;01.01.2010;1070;872;77;.;81
14625525;      Schirgiswalde-Kirschau, Stadt;01.01.2010;4577;3878;289;.;307
14625530;      Schmölln-Putzkau;01.01.2010;2475;2000;216;77;167
14625550;      Schwepnitz;01.01.2010;1889;1593;105;52;113
14625560;      Sohland a. d. Spree;01.01.2010;4994;4109;374;195;274
14625570;      Spreetal;01.01.2010;1548;1326;64;.;113
14625580;      Steina;01.01.2010;1361;1150;59;.;97
14625590;      Steinigtwolmsdorf;01.01.2010;2193;1816;130;78;155
14625600;      Wachau;01.01.2010;3302;2709;187;155;231
14625610;      Weißenberg, Stadt;01.01.2010;2615;2056;250;164;124
14625630;      Wilthen, Stadt;01.01.2010;3343;2944;157;47;181
14625640;      Wittichenau, Stadt;01.01.2010;4172;3424;299;154;276
14626;    Görlitz, Landkreis;01.01.2010;169908;144730;10146;4206;9485
14626010;      Bad Muskau, Stadt;01.01.2010;2454;2093;173;.;145
14626020;      Beiersdorf;01.01.2010;839;711;46;.;57
14626030;      Bernstadt a. d. Eigen, Stadt;01.01.2010;2530;2112;151;127;127
14626050;      Bertsdorf-Hörnitz;01.01.2010;1587;1370;72;.;104
14626060;      Boxberg/O.L.;01.01.2010;3756;3081;295;149;194
14626070;      Dürrhennersdorf;01.01.2010;818;628;65;.;65
14626085;      Ebersbach-Neugersdorf, Stadt;01.01.2010;8356;7261;575;94;391
14626100;      Gablenz;01.01.2010;1347;1148;89;.;68
14626110;      Görlitz, Stadt, Hochschulstadt;01.01.2010;26438;23698;1321;80;1191
14626120;      Groß Düben;01.01.2010;1011;776;68;.;71
14626140;      Großschönau;01.01.2010;3976;3421;227;35;276
14626150;      Großschweidnitz;01.01.2010;876;748;59;.;56
14626160;      Hähnichen;01.01.2010;1014;811;59;51;71
14626170;      Hainewalde;01.01.2010;1202;996;77;.;83
14626180;      Herrnhut, Stadt;01.01.2010;4122;3439;244;.;260
