name,unfaelle,population,rate
Gornau/Erzgeb.,5,3650,1.369863013698630136986301
Werda,2,1462,1.367989056087551299589603
Heidersdorf,1,732,1.366120218579234972677596
"Burgstädt, Stadt",14,10301,1.359091350354334530628094
Rosenthal-Bielatal,2,1506,1.328021248339973439575033
Puschwitz,1,767,1.303780964797913950456323
"Rothenburg/O.L., Stadt, Hochschulstadt",5,3893,1.284356537374775237605959
Gelenau/Erzgeb.,5,3947,1.26678489992399290600456
Neuhausen/Erzgeb.,3,2404,1.247920133111480865224626
Kreba-Neudorf,1,807,1.23915737298636926889715
Deutschneudorf,1,815,1.226993865030674846625767
Burkhardtsdorf,7,5816,1.203576341127922971114168
Crinitzberg,2,1726,1.158748551564310544611819
"Lunzenau, Stadt",4,3865,1.034928848641655886157827
"Thalheim/Erzgeb., Stadt",6,5872,1.021798365122615803814714
Stützengrün,3,2995,1.001669449081803005008347
Tannenberg,1,1004,0.996015936254980079681275
Obergurig,2,2014,0.993048659384309831181728
Löbnitz,2,2054,0.973709834469328140214216
Hartmannsdorf-Reichenau,1,1031,0.96993210475266731328807
"Mügeln, Stadt",5,5440,0.919117647058823529411765
Hohndorf,3,3299,0.909366474689299787814489
Königshain,1,1150,0.869565217391304347826087
Neschwitz,2,2309,0.866175833694239930705933
Amtsberg,3,3554,0.844119302194710185706246
Fraureuth,4,4991,0.801442596674013223802845
Elstertrebnitz,1,1314,0.761035007610350076103501
Liebschützberg,2,2798,0.714796283059328091493924
Steina,1,1640,0.609756097560975609756098
"Kitzscher, Stadt",3,5197,0.577256109293823359630556
"Seiffen/Erzgeb., Kurort",1,1789,0.558971492453884851872554
Hohendubrau,1,1820,0.549450549450549450549451
Gornsdorf,1,1869,0.535045478865703584804708
