"name","area_km2","population","blitzer","unfaelle","blitzerdichte","unfallrate"
"Langenbernsdorf","36.37","3324","0","8","0.0","2.406738868832731648616125"
"Dahlen, Stadt","71.87","4043","0","6","0.0","1.484046500123670541676973"
"Bad Lausick, Stadt","70.03","7970","0","17","0.0","2.132998745294855708908407"
"Räckelwitz","11.51","1123","0","2","0.0","1.780943900267141585040071"
"Lunzenau, Stadt","28.34","3865","0","4","0.0","1.034928848641655886157827"
"Eppendorf","33.87","3731","0","10","0.0","2.680246582685607075850978"
"Königshain-Wiederau","31.03","2458","0","6","0.0","2.441008950366151342554923"
"Dorfhain","6.25","1037","0","3","0.0","2.89296046287367405978785"
"Struppen","20.64","2373","1","9","0.048449612403100775193798","3.792667509481668773704172"
"Lengenfeld, Stadt","47.0","6731","1","29","0.02127659574468085106383","4.308423711187045015599465"
"Naundorf","36.93","2141","0","8","0.0","3.736571695469406819243344"
"Panschwitz-Kuckau","23.35","2004","1","4","0.042826552462526766595289","1.996007984031936127744511"
"Bobritzsch-Hilbersdorf","55.12","5627","1","12","0.018142235123367198838897","2.132575084414430424737871"
"Rodewisch, Stadt","26.86","6006","0","23","0.0","3.829503829503829503829504"
"Großdubrau","54.22","3958","0","11","0.0","2.779181404749873673572511"
"Bad Muskau, Stadt","15.38","3463","0","8","0.0","2.310135720473577822697083"
"Pockau-Lengefeld, Stadt","83.42","7143","0","21","0.0","2.939941201175976480470391"
"Bösenbrunn","34.21","1031","0","2","0.0","1.93986420950533462657614"
"Crimmitschau, Stadt","61.14","17695","0","40","0.0","2.260525572195535461994914"
"Dorfchemnitz","29.58","1390","0","0","0.0","0.0"
"Görlitz, Stadt, Hochschulstadt","67.53","54932","6","160","0.088849400266548200799645","2.912692055632418262579189"
"Pöhl","36.64","2289","0","10","0.0","4.368719965050240279598078"
"Scheibenberg, Stadt","9.0","1981","0","6","0.0","3.02877334679454820797577"
"Schönfeld","39.16","1643","0","12","0.0","7.303712720632988435788192"
"Königswalde","19.51","2021","0","7","0.0","3.46363186541316180108857"
"Trebsen/Mulde, Stadt","35.05","3706","0","12","0.0","3.237992444684295736643281"
"Markneukirchen, Stadt","69.04","6932","0","22","0.0","3.173687247547605308713214"
"Geringswalde, Stadt","30.05","3954","0","10","0.0","2.529084471421345472938796"
"Lichtenau","49.14","6824","0","29","0.0","4.249706916764361078546307"
"Groß Düben","15.07","1015","0","5","0.0","4.92610837438423645320197"
"Radibor","62.0","3056","1","8","0.016129032258064516129032","2.617801047120418848167539"
"Torgau, Stadt","102.82","19832","0","69","0.0","3.479225494150867285195643"
"Bärenstein","5.47","2093","0","6","0.0","2.866698518872431915910177"
"Bockau","19.14","2052","0","3","0.0","1.461988304093567251461988"
"Oelsnitz/Erzgeb., Stadt","26.28","10677","0","39","0.0","3.652711435796572070806406"
"Parthenstein","35.05","3495","0","10","0.0","2.861230329041487839771102"
"Arnsdorf","35.86","4979","0","34","0.0","6.828680457923277766619803"
"Deutschneudorf","8.05","815","0","1","0.0","1.226993865030674846625767"
"Bautzen, Stadt, Hochschulstadt","66.66","37007","0","193","0.0","5.215229551165995622449807"
"Mildenau","31.67","3275","0","5","0.0","1.526717557251908396946565"
"Schönbach","9.1","987","0","5","0.0","5.065856129685916919959473"
"Großnaundorf","14.99","886","0","0","0.0","0.0"
"Dresden, Stadt","328.48","561464","30","2154","0.09132976132489040428641","3.83639912799395865095536"
"Wermsdorf","104.62","5026","0","15","0.0","2.984480700358137684042977"
"Obergurig","9.82","2014","0","2","0.0","0.993048659384309831181728"
"Zwenkau, Stadt","46.3","9462","0","22","0.0","2.325089833016275628831114"
"Rammenau","10.76","1299","0","5","0.0","3.849114703618167821401078"
"Doberschau-Gaußig","40.48","4141","0","11","0.0","2.656363197295339290026564"
"Wildenfels, Stadt","20.68","3384","0","6","0.0","1.773049645390070921985816"
"Trebendorf","32.05","703","0","3","0.0","4.267425320056899004267425"
"Mittelherwigsdorf","36.45","3451","0","5","0.0","1.448855404230657780353521"
"Lommatzsch, Stadt","66.62","4645","0","7","0.0","1.506996770721205597416577"
"Kottmar","47.34","6808","0","16","0.0","2.350176263219741480611046"
"Oßling","43.71","2182","0","8","0.0","3.666361136571952337305225"
"Jöhstadt, Stadt","49.69","2344","0","5","0.0","2.13310580204778156996587"
"Thallwitz","53.09","3500","0","9","0.0","2.571428571428571428571429"
"Moritzburg","46.49","8185","1","33","0.021510002151000215100022","4.031765424557116676847892"
"Dürrröhrsdorf-Dittersbach","43.51","4216","1","7","0.022983222247759135830843","1.660341555977229601518027"
"Ellefeld","4.55","2336","0","8","0.0","3.424657534246575342465753"
"Königsfeld","28.42","1355","0","6","0.0","4.42804428044280442804428"
"Neustadt/Vogtl.","13.02","928","0","5","0.0","5.387931034482758620689655"
"Regis-Breitingen, Stadt","26.37","3739","0","7","0.0","1.872158331104573415351698"
"Niederwiesa","16.39","4674","2","9","0.122025625381330079316656","1.925545571245186136071887"
"Oberwiera","14.33","1025","0","2","0.0","1.951219512195121951219512"
"Bernsdorf","14.82","2077","2","8","0.134952766531713900134953","3.851709195955705344246509"
"Naunhof, Stadt","39.71","8721","2","19","0.050365147318055905313523","2.17864923747276688453159"
"Delitzsch, Stadt","85.92","25644","0","88","0.0","3.431601934175635626267353"
"Zittau, Stadt, Hochschulstadt","66.75","24773","4","112","0.059925093632958801498127","4.521051144391070923989828"
"Heinsdorfergrund","21.86","1881","0","10","0.0","5.316321105794790005316321"
"Auerbach/Vogtl., Stadt","55.52","17018","1","40","0.018011527377521613832853","2.350452462098954048654366"
"Reichenbach/O.L., Stadt","62.64","4489","1","13","0.015964240102171136653895","2.895967921586099353976387"
"Boxberg/O.L.","217.67","4110","1","16","0.004594110350530619745486","3.892944038929440389294404"
"Pausa-Mühltroff, Stadt","64.13","4541","1","12","0.015593326056447840324341","2.642589737943184320634222"
"Rossau","53.59","3271","1","11","0.018660197798096659824594","3.36288596759400794863956"
"Schirgiswalde-Kirschau, Stadt","24.34","5706","1","11","0.041084634346754313886606","1.92779530318962495618647"
"Geyer, Stadt","18.56","3236","0","6","0.0","1.854140914709517923362176"
"Reinhardtsdorf-Schöna","31.8","1244","0","4","0.0","3.215434083601286173633441"
"Oberwiesenthal, Kurort, Stadt","40.04","1915","0","5","0.0","2.610966057441253263707572"
"Spreetal","108.8","1669","0","11","0.0","6.590772917914919113241462"
"Bernstadt a. d. Eigen, Stadt","52.0","3069","0","13","0.0","4.235907461713913326816553"
"Reinsdorf","21.25","6957","0","13","0.0","1.868621532269656461118298"
"Fraureuth","22.6","4991","1","4","0.044247787610619469026549","0.801442596674013223802845"
"Mulda/Sa.","43.14","2309","0","4","0.0","1.732351667388479861411867"
"Falkenstein/Vogtl., Stadt","31.06","7286","0","20","0.0","2.744990392533626132308537"
"Stolpen, Stadt","60.89","5373","1","22","0.016423057973394646083101","4.09454680811464731062721"
"Bennewitz","46.81","5119","0","10","0.0","1.953506544246923227192811"
