GENESIS-Tabelle: 11111-040M
Gebietsfläche;;;;
- Gemeinden (Gebietsstand ab 01.01.2023) 1);;;;
Feststellung des Gebietsstandes;;;;
31.12.2024;;;;
;;Fläche in qm;Fläche in ha;Fläche in qkm
;;qm;ha;qkm
14729270;      Markranstädt, Stadt;58461079;5846,11;58,46
14729300;      Naunhof, Stadt;39714354;3971,44;39,71
14729320;      Neukieritzsch;57093930;5709,39;57,09
14729330;      Otterwisch;22760110;2276,01;22,76
14729340;      Parthenstein;35053371;3505,34;35,05
14729350;      Pegau, Stadt;48777427;4877,74;48,78
14729360;      Regis-Breitingen, Stadt;26370849;2637,08;26,37
14729370;      Rötha, Stadt;45405373;4540,54;45,41
14729380;      Thallwitz;53093817;5309,38;53,09
14729400;      Trebsen/Mulde, Stadt;35054198;3505,42;35,05
14729410;      Wurzen, Stadt;69001023;6900,10;69,00
14729430;      Zwenkau, Stadt;46299352;4629,94;46,30
14730;    Nordsachsen, Landkreis;2028544492;202854,45;2028,54
14730010;      Arzberg;58572063;5857,21;58,57
14730020;      Bad Düben, Stadt;45800024;4580,00;45,80
14730030;      Beilrode;93283917;9328,39;93,28
14730045;      Belgern-Schildau, Stadt;158990927;15899,09;158,99
14730050;      Cavertitz;69170787;6917,08;69,17
14730060;      Dahlen, Stadt;71869608;7186,96;71,87
14730070;      Delitzsch, Stadt;85918813;8591,88;85,92
14730080;      Doberschütz;77774221;7777,42;77,77
14730090;      Dommitzsch, Stadt;30435919;3043,59;30,44
14730100;      Dreiheide;33620045;3362,00;33,62
14730110;      Eilenburg, Stadt;46845598;4684,56;46,85
14730120;      Elsnig;36905857;3690,59;36,91
14730140;      Jesewitz;52440970;5244,10;52,44
14730150;      Krostitz;43214331;4321,43;43,21
14730160;      Laußig;103431716;10343,17;103,43
14730170;      Liebschützberg;68659406;6865,94;68,66
14730180;      Löbnitz;37386292;3738,63;37,39
14730190;      Mockrehna;115806990;11580,70;115,81
14730200;      Mügeln, Stadt;55079769;5507,98;55,08
14730210;      Naundorf;36925638;3692,56;36,93
14730230;      Oschatz, Stadt;55435449;5543,54;55,44
14730250;      Rackwitz;35851169;3585,12;35,85
14730270;      Schkeuditz, Stadt;81471088;8147,11;81,47
14730280;      Schönwölkau;49408295;4940,83;49,41
14730300;      Taucha, Stadt;33221998;3322,20;33,22
14730310;      Torgau, Stadt;102817063;10281,71;102,82
14730320;      Trossin;79681916;7968,19;79,68
14730330;      Wermsdorf;104622574;10462,26;104,62
14730340;      Wiedemar;95544393;9554,44;95,54
14730360;      Zschepplin;68357656;6835,77;68,36
__________
"1) Daten 31.12.2023 zum Gebietsstand 01.01.2024

Die Flächenangaben (Katasterflächen) basieren auf den
Angaben des Landesamtes für Geobasisinformation Sachsen.
Flächenänderungen ergeben sich aus
Grenzänderungen und Neuvermessungen.
- Durch unabhängiges Runden können Differenzen im
Zahlenmaterial enstehen.
 
Aufgrund fachlicher und methodischer Umstellungen in der
Vermessungsverwaltung ist der Vergleich der Flächendaten ab
2015 mit den Flächendaten der vorangegangenen Jahre
erheblich eingeschränkt."
© Statistisches Landesamt des Freistaates Sachsen, Kamenz, 2026 
Stand: 31.05.2026 / 17:44:46
